"year","F_N","P_N","F_P"
2014,0.00119999999999998,0,0.9679
2015,0.0674,0.0711000000000001,0.6644
2016,0.00229999999999997,0.4343,0.0109
2017,0.00290000000000001,0.9403,0.001
2018,0.000900000000000012,0.00119999999999998,0.7337
2019,0,0.0845,9.9999999999989e-05
2020,0.00839999999999996,0.1903,0.1845
2021,0.0959,0.4711,0.2175
