"year","F_N","P_N","F_P"
2014,0.00219999999999998,0.00619999999999998,0.6903
2015,0.0104,0.7811,0.00480000000000003
2016,0.015,0.8936,0.00319999999999998
2017,0.00539999999999996,0.755,0.005
2018,0.003,0.5404,0.00960000000000005
2019,0,0.9624,0
2020,0,0.5112,0.000199999999999978
2021,0.00360000000000005,0.55,0.00560000000000005
