"year","F_N","P_N","F_P"
2014,0.000700000000000034,0,0.9497
2015,0.0306,0.1418,0.3903
2016,0.00119999999999998,0.6959,0.00119999999999998
2017,0.001,0.8805,0.000600000000000045
2018,9.9999999999989e-05,0.0139,0.4236
2019,0,0.0533,0
2020,0.000800000000000023,0.106,0.1156
2021,0.0332,0.3663,0.1556
