"year","F_N","P_N","F_P"
2016,0.0107,0.00629999999999997,0.8715
2017,0.0144,0.161,0.1877
2018,0,0.3967,9.9999999999989e-05
2019,0.00190000000000001,0.0572,0.2402
2020,0.00139999999999996,0.0256999999999999,0.4686
2021,0.0437,0.7853,0.017
