"year","F_N","P_N","F_P"
2016,0,0.2697,0.000199999999999978
2017,0,0.4938,0
2018,0,0.0213,0.0213
2019,0,0.000199999999999978,0.0873
2020,9.9999999999989e-05,0.00680000000000003,0.2162
2021,0.005,0.3359,0.0289
