"year","F_N","P_N","F_P"
2014,9.9999999999989e-05,0,0.939
2015,0.0663,0.0689,0.6414
2016,0.00229999999999997,0.291,0.0296
2017,0.00149999999999995,0.9082,0.000700000000000034
2018,0.00990000000000002,0.00119999999999998,0.927
2019,0,0.0243,0
2020,0.00119999999999998,0.1893,0.0822000000000001
2021,0.052,0.4968,0.1371
