"PixelID","mpa_status","Site_ID_12","Estab_Yr_1","AreaMar_12","region"
989,"Partial","CA267",2012,6.27346038818,"South_Coast"
990,"Partial","CA267",2012,6.27346038818,"South_Coast"
1198,"Partial","CA271",2012,41.2708206177,"South_Coast"
1199,"Partial","CA271",2012,41.2708206177,"South_Coast"
1497,"Partial","CA274",2012,12.3903408051,"South_Coast"
1498,"Partial","CA274",2012,12.3903408051,"South_Coast"
1499,"Partial","CA274",2012,12.3903408051,"South_Coast"
1556,"Partial","CA277",2012,1.68141305447,"South_Coast"
1576,"Partial","CA277",2012,1.68141305447,"South_Coast"
1640,"Partial","CA283",2012,6.08295679092,"South_Coast"
1646,"Partial","CA283",2012,6.08295679092,"South_Coast"
1649,"Partial","CA283",2012,6.08295679092,"South_Coast"
1650,"Partial","CA283",2012,6.08295679092,"South_Coast"
1517,"Partial","CA287",2012,9.16121864319,"South_Coast"
1518,"Partial","CA287",2012,9.16121864319,"South_Coast"
1519,"Partial","CA287",2012,9.16121864319,"South_Coast"
1536,"Partial","CA290",2012,8.99460029602,"South_Coast"
1557,"Partial","CA290",2012,8.99460029602,"South_Coast"
1570,"Partial","CA290",2012,8.99460029602,"South_Coast"
1782,"Partial","CA292",2012,32.9481201172,"South_Coast"
1789,"Partial","CA292",2012,32.9481201172,"South_Coast"
1794,"Partial","CA292",2012,32.9481201172,"South_Coast"
1801,"Partial","CA292",2012,32.9481201172,"South_Coast"
1802,"Partial","CA292",2012,32.9481201172,"South_Coast"
1809,"Partial","CA292",2012,32.9481201172,"South_Coast"
1958,"Partial","CA300",2012,7.7992811203,"South_Coast"
1961,"Partial","CA300",2012,7.7992811203,"South_Coast"
1133,"Partial","CA150",2005,2.15367650986,"South_Coast"
453,"Full","CA338",1984,0.324654012918,"Central_Coast"
1522,"Partial","CA347",1971,1.11730504036,"South_Coast"
1558,"Partial","CA345",1971,0.507363080978,"South_Coast"
1790,"Partial","CA350",1969,0.307420521975,"South_Coast"
