"year","F_N","P_N","F_P"
2014,0.00129999999999997,0.000199999999999978,0.9619
2015,0.0868,0.044,0.7504
2016,0.001,0.2113,0.0241
2017,0.000900000000000012,0.9303,0.000199999999999978
2018,0.000700000000000034,0.000700000000000034,0.8433
2019,0,0.0895,0
2020,0.00309999999999999,0.1427,0.1413
2021,0.083,0.459,0.2032
