"year","F_N","P_N","F_P"
1997,0.5024,0.6234,0.3844
1998,0.000499999999999945,0.2887,0.000499999999999945
1999,0.1929,0.934,0.0383
2000,0.1436,0.4862,0.2374
2001,0.0688,0.0154,0.8243
2002,0.8335,0.0274,0.9865
