"year","F_N","P_N","F_P"
2014,0.000199999999999978,9.9999999999989e-05,0.994
2015,0.0414,0.0353,0.7037
2016,0.027,0.1076,0.4397
2017,0.0123,0.9162,0.00219999999999998
2018,0.0153,0.000700000000000034,0.945
2019,0,0.0211,0
2020,0.00119999999999998,0.2864,0.0397
2021,0.0218,0.5394,0.0679
