"x","y","depth","PixelID","distance_to_coast"
-124.215,41.955,1,1,98.1822179998007
-124.215,41.945,1,2,492.685724054762
-124.225,41.935,12.357014503479,3,1638.83283952844
-124.375,41.835,13.5404329681396,4,11217.0541053295
-124.355,41.815,10.923058052063,5,8758.46530326443
-124.255,41.785,1,6,0
-124.295,41.775,20.8546208190918,7,3276.43637477433
-124.255,41.775,1.18360684967041,8,302.260340014126
-124.245,41.775,1.21655266978524,9,0
-124.245,41.765,1.25052738452845,10,308.124269728892
-124.235,41.765,1.0001021856847,11,190.461697464686
-124.245,41.755,11.9923795318604,12,630.601333073871
-124.235,41.755,2.0638127192329,13,979.452232310718
-124.225,41.755,2.28218406550089,14,184.8281484153
-124.215,41.755,1,15,0
-124.215,41.745,3.70394362449646,16,564.355291721784
-124.205,41.745,1.01048040387994,17,38.8367610067995
-124.145,41.705,1.12111827373505,18,74.2967049128237
-124.145,41.685,1,19,166.6308606204
-124.105,41.595,1,20,0
-124.105,41.585,1,21,438.377832203567
-124.125,41.575,17.7245666122436,22,1836.50037083893
-124.145,41.145,1,23,204.366112824982
-124.185,41.135,21.8250814437867,24,1681.99276192715
-124.165,41.125,1,25,273.064675532071
-124.185,41.105,16.004308013916,26,1798.69115467689
-124.165,41.105,1,27,246.895744477568
-124.165,41.095,5.27530891418457,28,385.12220406841
-124.175,41.065,16.2342693710327,29,978.30024521077
-124.165,41.065,8.46276798248291,30,471.380215621186
-124.155,41.065,1,31,130.359837037154
-124.165,41.055,7.88508090655009,32,449.218774138322
-124.155,41.055,8.27610948504824,33,130.189422942619
-124.145,41.055,3.00531440073624,34,112.050595450583
-124.135,41.055,1.06203009923796,35,0
-124.135,41.045,1.13473402491771,36,780.826354042109
-124.125,41.045,1,37,74.5299040608259
-124.125,41.035,1,38,522.390879344639
-124.395,40.505,4.76555582407862,39,649.83715683665
-124.425,40.445,13.5363586021214,40,1048.85823237158
-124.395,40.395,12.1939235687256,41,1193.89195779733
-124.385,40.395,1,42,592.832880469396
-124.375,40.355,14.7670728316027,43,957.349021661135
-124.365,40.345,1.06510230965913,44,171.145687716071
-124.365,40.335,1,45,516.137530353389
-124.355,40.335,1,46,0
-124.365,40.325,4.79928061523837,47,1117.25238609982
-124.355,40.325,5.33553504109382,48,287.146735625332
-124.365,40.315,16.8757142353058,49,1279.11922066571
-124.355,40.315,6.83860191345215,50,468.324311876916
-124.365,40.305,15.2468693351745,51,953.497016173078
-124.365,40.275,2.77759471893311,52,102.037582664673
-124.365,40.265,1,53,199.304765630472
-124.335,40.235,1,54,563.318322687297
-124.315,40.225,2.2834376613299,55,0
-124.245,40.175,1.81042145252228,56,398.275219653371
-124.225,40.165,1.69690853834152,57,174.107742031458
-124.215,40.165,1.76777358531952,58,0
-124.215,40.155,2.96914426871709,59,311.81437531298
-124.175,40.125,1.82731704801321,60,178.516669310029
-124.165,40.125,1.60146002173424,61,0
-124.155,40.125,1.17225599080324,62,0
-124.155,40.115,1,63,519.242900345059
-124.145,40.115,2.04273186640306,64,314.684810139227
-124.135,40.115,6.22202577800751,65,0
-124.125,40.115,5.52281477451325,66,0
-124.125,40.105,7.81293023688819,67,501.252460527185
-124.115,40.105,7.21987150609493,68,45.3869153069062
-124.155,40.095,2.8945448589325,69,2588.0253081258
-124.105,40.095,2.97525655388832,70,109.558453973281
-124.095,40.095,2.11839061975479,71,0
